[2026-06-12 17:00:47,370] [11] [src.components.data_ingestion] [INFO] - Data Ingestion started ... 
[2026-06-12 17:00:48,974] [23] [src.components.data_ingestion] [INFO] - Data Ingestion Successfully Completed
[2026-06-12 17:00:48,975] [40] [src.components.data_transformation] [INFO] - Data Transformation Started ...
[2026-06-12 17:00:49,204] [18] [src.utils.save_object] [INFO] - Successfully saved object to artifacts/model/scaler.pkl
[2026-06-12 17:00:53,155] [52] [src.components.data_transformation] [INFO] - Before SMOTE - Fraud Count : 394 , Genuine Count : 227451
[2026-06-12 17:00:53,635] [57] [src.components.data_transformation] [INFO] - After SMOTE  - Fraud Count: 227451, Genuine Count: 227451
[2026-06-12 17:00:53,635] [59] [src.components.data_transformation] [INFO] - Data Transformation Successfully Completed
[2026-06-12 17:00:53,636] [69] [src.components.model_training] [INFO] - Starting model training on scaled baseline data (No SMOTE)... 
[2026-06-12 17:00:53,711] [75] [src.components.model_training] [INFO] - Started parent MLflow run: Model-Training-Pipeline
[2026-06-12 17:00:58,354] [92] [src.components.model_training] [INFO] - [Logistic Regression] Baseline Evaluation Complete. AUPRC: 0.7388
[2026-06-12 17:01:44,822] [92] [src.components.model_training] [INFO] - [Random Forest] Baseline Evaluation Complete. AUPRC: 0.8734
[2026-06-12 17:01:50,494] [92] [src.components.model_training] [INFO] - [Xgboost] Baseline Evaluation Complete. AUPRC: 0.7973
[2026-06-12 17:01:54,701] [92] [src.components.model_training] [INFO] - [LightGBM] Baseline Evaluation Complete. AUPRC: 0.0315
[2026-06-12 17:01:54,715] [105] [src.components.model_training] [INFO] - Saved baseline metrics to artifacts/metrics/model_metrics_baseline.csv
[2026-06-12 17:01:54,715] [110] [src.components.model_training] [INFO] - Training on SMOTE balanced Data ... 
[2026-06-12 17:02:01,087] [134] [src.components.model_training] [INFO] - [Logistic Regression] SMOTE Evaluation Complete. AUPRC: 0.7251
[2026-06-12 17:03:19,288] [134] [src.components.model_training] [INFO] - [Random Forest] SMOTE Evaluation Complete. AUPRC: 0.8706
[2026-06-12 17:03:25,288] [134] [src.components.model_training] [INFO] - [Xgboost] SMOTE Evaluation Complete. AUPRC: 0.8652
[2026-06-12 17:03:31,933] [134] [src.components.model_training] [INFO] - [LightGBM] SMOTE Evaluation Complete. AUPRC: 0.7755
[2026-06-12 17:03:31,946] [147] [src.components.model_training] [INFO] - Saved SMOTE metrics to artifacts/metrics/model_metrics_smote.csv
[2026-06-12 17:03:31,974] [18] [src.utils.save_object] [INFO] - Successfully saved object to artifacts/model/model.pkl
[2026-06-12 17:03:32,006] [181] [src.components.model_training] [INFO] - Best model: 'Random Forest' (AUPRC=0.8706) saved to artifacts/model/model.pkl
[2026-06-12 17:03:32,869] [213] [src.components.model_training] [INFO] - Saved feature importance matrix visualization to: artifacts/metrics/global_feature_importance.png
[2026-06-12 17:03:36,409] [245] [src.components.model_training] [INFO] - Saved confusion matrix heatmaps to: artifacts/metrics/confusion_matrices.png
[2026-06-12 17:03:38,604] [253] [src.components.model_training] [INFO] - Calculating SHAP values for XGBoost (Sampling up to 500 records)...
[2026-06-12 17:03:39,917] [265] [src.components.model_training] [INFO] - Saved SHAP summary plot to: artifacts/metrics/shap_summary_xgboost.png
[2026-06-12 17:03:41,642] [302] [src.components.model_training] [INFO] - Logged all experiment artifacts to active parent MLflow run. Best model: Random Forest
[2026-06-12 17:03:41,652] [327] [src.components.model_training] [INFO] - Ended parent MLflow run successfully.
